[ost_a.smc]
01: dw3_battle; Battle Theme; Dragon Warrior 3; Koichi Sugiyama; Gi Nattak
02: bof_dejection; Dejection; Breath of Fire; Y. Fujita, M. Yamaguchi, M. Fuji, Y. Shimomura, T. Nishimura; Gi Nattak
03: totr_worlds; Between Two Worlds; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
05: mkr_emeraude; Emeraude's Theme; Magic Knight Rayearth; Yayoi Wachi, Seirou Okamoto; Gi Nattak
06: dq_alefgard; Alefgard; DQ/FF4 Remix; Koichi Sugiyama, Nobuo Uematsu ; Gi Nattak, Jackimus
07: bl_jojo; Jojo and the God Dragons; Bahamut Lagoon; Noriko Matsueda; Gi Nattak
08: lf2_land; The Land Nobody Knew; Lufia II; Yasunori Shiono; Gi Nattak
09: ct_chest; Sealed Chest; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
0A: rs3_field; Field; Romancing Saga 3; Kenji Ito; JCE3000GT
0B: lom_moonlit; Moonlit City Roa; Legend of Mana; Yoko Shimomura; Gi Nattak
0C: ar_sacrifices; Sacrifices; ActRaiser; Yuzo Koshiro; Gi Nattak
0D: bof2_hero; What It Takes To Be A Hero; Breath of Fire 2; Yuko Takehara; Gi Nattak
0E: ys5_lake; Misty Lake; Ys 5; Naoki Kaneda; Gi Nattak
0F: ff7_cry; You Can Hear the Cry of the Planet; Final Fantasy VII; Nobuo Uematsu; Gi Nattak
10: potc_pirate; He's a Pirate!; Pirate's of the Caribbean; Klaus Badelt, Hans Zimmer; Jackimus
11: mtd_kraid; Kraid's Lair (Rock Remix); Metroid; Hirokazu Tanaka; Gi Nattak
12: ff4_calcobrena; Dancing Calcobrena; Final Fantasy IV; Nobuo Uematsu; emberling
13: tcss_song; Song #1; T&C Skate Session; Tsukasa Masuko; Gi Nattak
14: rs_schiele; Battle With Schiele; Romancing Saga; Kenji Ito; Unknown
15: drkn_character; Character Creation; Drakkhen; Hiroyuki Masuno; Gi Nattak
16: totr_darkness; Edge of Darkness; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
17: ao2_forest; Land of Frozen Forest; Albert Odyssey 2; Naoki Kodaka; Gi Nattak
18: z4_dungeon; Dungeon; Zelda IV (GBC); K. Totaka, M. Hamano, K. Ishikawa, K. Kondo; Gi Nattak
19: xnb_gaur; Gaur Plains; Xenoblade; ACE+; Jackimus
1A: lal_megalomania; Megalomania; Live a Live; Yoko Shimomura; Unknown
1B: lf_island; Island in the Void; Lufia; Yasunori Shiono; Gi Nattak
1C: feg_army; Army of Grannvale 2; Fire Emblem: Genealogy of the Holy War; Yuka Tsujiyoko; Gi Nattak
1D: lag_voice; Voice of Spirits; Lagoon; Hideki Suzuki; Gi Nattak
1F: ys3_shock; Shock of the Death God; Ys III; Mieko Ishikawa; Gi Nattak
20: totr_zombies; Dance of the Zombies; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
21: smtd_maridia; Maridia; Super Metroid; Minako Hamano, Kenji Yamamoto; Gi Nattak
22: lom_soul; Bonded by the Soul; Legend of Mana; Yoko Shimomura; Gi Nattak
23: ff8_way; Find Your Way; Final Fantasy VIII; Nobuo Uematsu; Gi Nattak
24: rs_conflict; The Conflict; Romancing Saga; Kenji Ito; Gi Nattak
25: rs3_vanguard; Vanguard Take Off 2; Romancing Saga 3; Kenji Ito; Gi Nattak
27: bof_romero; Romero Cave; Breath of Fire; Y. Fujita, M. Yamaguchi, M. Fuji, Y. Shimomura, T. Nishimura; Gi Nattak
28: vp_anxieties; Eternal Hydrogen Anxieties; Valkyrie Profile; Motoi Sakuraba; Gi Nattak
29: trnm_spirits; Wandering Spirits; Terranigma; Masanori Hikichi; Gi Nattak
2A: ffmq_foresta; Foresta; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Gi Nattak
2B: lf2_earth; The Earth; Lufia II; Yasunori Shiono; Gi Nattak
2C: sd3_bells; Decision Bells; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak
2D: ff2_town; Town; Final Fantasy II; Nobuo Uematsu; Gi Nattak
2E: aw_time; The Time Has Come; Aaron Walz Music; Aaron Walz; Gi Nattak
2F: sgf_victory; Victory!; Saga Frontier; Kenji Ito; Gi Nattak
30: ct_light; Silent Light; Chrono Tigger; Nobuo Uematsu; JCE3000GT
31: tc2001_dre; Forgot About Dre; The Chronic 2001; Dr. Dre; Gi Nattak
32: totr_flame; Flame And Arrow; Treasure of the Rudra; Ryuji Sasai; Gi Nattak
33: top_cross; Take up the Cross; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak
34: tc_shrine; Shrine; Treasure Conflix; Junya Nakano; JCE3000GT
35: wa_castle; Adlehyde Castle; Wild Arms; Michiko Naruke; Gi Nattak
36: ff7_temple; Forested Temple; Final Fantasy VII; Nobuo Uematsu; Gi Nattak
37: kh2_afternoon; Lazy Afternoon; Kingdom Hearts II; Yoko Shimomura; Gi Nattak
38: xng_sleep; Back to Sleep; Xenogears; Yasunori Mitsuda; Gi Nattak
39: ff3_amur; Town of Amur; Final Fantasy III; Nobuo Uematsu; Gi Nattak
3B: lf2_sinistral; Sinistral Battle; Lufia II; Yasunori Shiono; Gi Nattak
3C: som_wind; The Wind Never Ceases; Secret of Mana; Hiroki Kikuta; Gi Nattak
3D: mrpnt_exercice; Creative Exercise; Mario Paint; Hirokazu Tanaka, Ryoji Yoshitomi, Kazumi Totaka; Gi Nattak
3E: ff12_over; Game Over; Final Fantasy XII; Hitoshi Sakimoto, Hayato Matsuo, Masaharu Iwata; Gi Nattak
3F: lal_bird; The Bird Flies in the Sky, The Fish Swims in the River; Live A Live; Yoko Shimomura; Gi Nattak
40: z3_mountain; Death Mountain; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak
41: sgf_journey; Opening of a Journey; Saga Frontier; Kenji Ito; Gi Nattak
42: ff7_day; On That Day 5 Years Ago; Final Fantasy VII; Nobuo Uematsu; Gi Nattak
43: ff_shop; Shop Theme; Final Fantasy I; Nobuo Uematsu; Gi Nattak
44: ff8_plank; Only A Plank Between One And Perdition; Final Fantasy VIII; Nobuo Uematsu; Gi Nattak
45: lal_psycho; Psycho Killing; Live A Live; Yoko Shimomura; emberling
46: sd3_medicine; Strange Medicine; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak
47: ff5_ronka; Machina Ronka; Final Fantasy V; Nobuo Uematsu; Gi Nattak
48: bld_toronto; Town of Toronto; Brainlord; Masanao Akahori; Jackimus
49: ffmq_doom; Doom Castle; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Gi Nattak
4B: xnb_mechonis; Mechonis Field; Xenoblade; ACE+; Jackimus
4C: rmb_stage; Stage Theme; Rambo; Tohru Hasabe; Gi Nattak
4D: ct_tyrano; Tyrano Lair; Chrono Trigger Beta; Yasunori Mitsuda; Gi Nattak
4E: kaw_teamwork; Teamwork; King Aurther's World; Justin Scharvona; Gi Nattak
4F: trnm_underworld; Underworld; Terranigma; Masanori Hikichi; Gi Nattak
50: ff10_seymour; Fight With Seymour; Final Fantasy X; Nobuo Uematsu; Jackimus
51: cstvn_sotn_painting; Lost Painting; Castlevania SOTN; Michiru Yamane; Gi Nattak
52: cfh_chocobo; Chocobo From Hell; Chocobo From Hell; Andrew Thompson; Gi Nattak
53: vp_nostalgia; Nostalgia Into Hope; Valkyrie Profile; Motoi Sakuraba; Gi Nattak
54: ct_mountain; Singing Mountain; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
55: z3_world; Dark World Dungeon; The Legend of Zelda: A Link to the Past; Koji Kondo; Gi Nattak
56: som_ghost; Rose and Ghost; Secret of Mana; Hiroki Kikuta; Gi Nattak
57: ff_town; Town; Final Fantasy I; Nobuo Uematsu; Gi Nattak
58: rs_minstrel; Minstrel's Song; Romancing Saga; Kenji Ito; Gi Nattak
59: swom_decision; Time of Decision; Sword of Mana; Kenji Ito; Gi Nattak
5A: sm64_lullaby; Piranha Plant Lullaby; Super Mario 64; Koji Kondo; Gi Nattak
5B: som_memories; Kind Memories; Secret of Mana; Hiroki Kikuta; Gi Nattak
5C: evo_ocean; Ocean of Origin; E.V.O. Search for Eden; Koichi Sugiyama; Gi Nattak
5D: sgf_trick; Trick; Saga Frontier; Kenji Ito; Tsushiy
5E: ct_dome; Unused Keeper's Dome; Chrono Trigger Beta; Yasunori Mitsuda; Gi Nattak
5F: so_should; What Should Be; Star Ocean; Motoi Sakuraba; Gi Nattak
60: som_happening; A Curious Happening; Secret of Mana; Hiroki Kikuta; Gi Nattak
61: sd3_machine; Faith Total Machine; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak
62: dq2_requiem; Requiem; Dragon Quest 2; Koichi Sugiyama; Gi Nattak
63: pkm_gym; Gym Battle; Pokemon red/blue/yellow; Junichi Masuda; Gi Nattak
64: ys_step; First Step Towards Wars; Ys; Ryo Yonemitsu; Gi Nattak
65: top_resurrection; Resurrection; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak
66: mtlmx_forget; The One Who Cannot Forget; Metal Max 2; Satoshi Kadokura; Gi Nattak
67: doom_halls; Dark Halls; Doom; Bobby Prince; Gi Nattak
68: bfm_plan; Terrible Plan of the Vambees; Brave Fencer Musashi; Tsuyoshi Sekito; Gi Nattak
69: cc_garden; Garden of the Gods; Chrono Cross; Yasunori Mitsuda; Gi Nattak
6A: mmx_boss; Boss Appears; Mega Man X; Alph Lyla group; Gi Nattak
6B: tc_ship; Salvage Ship; Treasure Conflix; Junya Nakano; Gi Nattak
6D: vp_world; Rise Above the World; Valkyrie Profile; Motoi Sakuraba; Gi Nattak
6E: smtd_norfair; Lower Norfair; Super Metroid; Minako Hamano, Kenji Yamamoto; Gi Nattak
6F: ff7_fight; Those Who Fight; Final Fantasy VII; Nobuo Uematsu; Jackimus
70: ff9_eiko; Eiko's Theme; Final Fantasy IX; Nobuo Uematsu; Jackimus
71: ffmq_battle; Battle Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus
72: so3_moon; Reflected Moon; Star Ocean 3; Motoi Sakuraba; Gi Nattak
73: skd2_chase; The Chase; Suikoden II; Miki Higashino, Keiko Fukami; Gi Nattak
74: dkc2_bop; Hot Head Bop; Donkey Kong Country 2; David Wise; Gi Nattak
75: lf2_sorrow; Sorrow of Parting; Lufia II; Yasunori Shiono; Gi Nattak
76: xnb_names; You Will Know Our Names; Xenoblade; ACE+; Jackimus
77: lf2_battle; Battle Theme; Lufia II; Yasunori Shiono; Jackimus
78: ff5_earth; Cursed Earth; Final Fantasy V; Nobuo Uematsu; Gi Nattak
79: ff4_town; Welcome to Our Town; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
7A: sgf_battle; Battle #5; Saga Frontier; Kenji Ito; Tsushiy
7B: ff5_bridge; Clash on the Big Bridge; Final Fantasy V; Nobuo Uematsu; Gi Nattak
7C: xng_emperor; Grahf Emperor of Darkness; Xenogears; Yasunori Mitsuda; Tsushiy
7D: ff5_tenderness; Tenderness in the Air; Final Fantasy V; Nobuo Uematsu; Gi Nattak
7E: smrpg_boss; Fight Against an Armed Boss; Super Mario RPG; Yoko Shimomura; Gi Nattak
7F: btm_ruins; Laboratory Ruins; Batman: The Video Game; Naoki Kodaka; Gi Nattak
80: erp_countdown; Final Countdown; Europe; N/A; Gi Nattak
81: ar2_palace; Ice Palace; ActRaiser 2; Yuzo Koshiro; Gi Nattak
82: xng_bonds; Bonds of Sea and Fire; Xenogears; Yasunori Mitsuda; Gi Nattak
83: ff6_ww3; The Wedding Waltz #3; Final Fantasy VI; Nobuo Uematsu; N/A
84: ys_chambers; Darm Tower Upper Chambers; Ys; Ryo Yonemitsu; Gi Nattak
85: ff5_exdeath; Neo Exdeath; Final Fantasy V; Nobuo Uematsu; Gi Nattak
86: wa_zed; Zed's Theme; Wild Arms; Michiko Naruke; Gi Nattak, emberling
87: ff2_kashuon; Kashuon Castle (Battle Remix); Final Fantasy II; Nobuo Uematsu; Gi Nattak
88: udt_megalovania; Megalovania; Undertale; Toby Fox; Jackimus
89: wk_determination; Determination; William Kage Music; William Kage; Gi Nattak
8A: avgn_fuckballs; Future Fuckballs 2010; Angry Video Game Nerd Adventures; FreakZone Games; Jackimus
8B: fft_battle; Unavoidable Battle; Final Fantasy Tactics; Masaharu Iwata; Gi Nattak
8C: zll_windfish; Balad of the Windfish; The Legend of Zelda: Link's Awakening; Kazumi Totaka, Minako Hamano, Kozue Ishikawa; Gi Nattak
8D: etb__business; Pokey Means Business; Earthbound; Keiichi Suzuki, Hirokazu Tanaka; Gi Nattak
8E: ff9_waltz; Black Waltz; Final Fantasy IX; Nobuo Uematsu; Gi Nattak
8F: fft_ramza; Ramza's Theme; Final Fantasy Tactics; Hitoshi Sakimoto; Gi Nattak
90: drkn_night; Earth Night; Drakkhen; Hiroyuki Masuno; Gi Nattak
91: ff6_overture_1; Overture 1; Final Fantasy VI; Nobuo Uematsu; N/A
92: sd3_fission; Nuclear Fission; Seiken Densetsu 3; Hiroki Kikuta; Jackimus
93: lf_evil; Wave of Evil; Lufia; Yasunori Shiono; Gi Nattak
94: sf2_guile; Guile's Theme; Street Fighter II; Yoko Shimomura; Gi Nattak
95: ff6_aria; Aria di Mezzo Carattere; Final Fantasy VI; Nobuo Uematsu; N/A
96: dms_allant; Old King Allant; Demon's Souls; Shunsuke Kida; Gi Nattak
97: 7th_saizer; Valsu Saizer; 7th Saga; Norihiko Yamanuki; Gi Nattak
98: bfm_nightime; Nightime; Brave Fencer Musashi; Tsuyoshi Sekito; Gi Nattak
99: lf2_duel; The Last Duel; Lufia II; Yasunori Shiono; Gi Nattak
9A: ff4_golbez; Golbez, Clad In Darkness; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
9B: jc_battle; Battle ~ Drill; Jade Cocoon; Kimitaka Matsumae; Gi Nattak
9C: rs3_king; Year of the Holy King; Romancing Saga 3; Kenji Ito; JCE3000GT
9D: ff4_boss; Boss Theme; Final Fantasy IV; Nobuo Uematsu; MetroidQuest
9E: rs_city; Crystal City; Romancing Saga; Kenji Ito; Gi Nattak
9F: dq7_days; Days of Sadness; Dragon Quest VII; Koichi Sugiyama; Gi Nattak
A0: ff7_fight_further; Those Who Fight Further; Final Fantasy VII; Nobuo Uematsu; Jackimus
A1: skd_reminiscence; Reminiscence Ensemble Version; Suikoden 2; Miki Higashino, Keiko Fukami; Gi Nattak
A2: ff6_overture_2; Overture 2; Final Fantasy VI; Nobuo Uematsu; N/A
A3: sm3_airships; Airships; Super Mario 3; Koji Kondo; Gi Nattak
A4: sw_cantina; Cantina; Star Wars; John Williams; Gi Nattak
A5: ff8_machine_gun; The Man With The Machine Gun; Final Fantasy VIII; Nobuo Uematsu; Jackimus
A6: iog_dream; Will's Dream; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak
A7: bl_campbell; Green Land Campbell; Bahamut Lagoon; Noriko Matsueda; Gi Nattak
A8: smrpg_mallow; Mallow Finds Out He Is Not A Tadpole; Super Mario RPG; Yoko Shimomura; Gi Nattak
A9: ob_wall; Wall of Defense; Ogre Battle; Masaharu Iwata, Hitoshi Sakimoto; Gi Nattak
AA: shfc2_village; Elven Village; Shining Force II; Motoaki Takenouchi; Gi Nattak
AB: ct_lavos; Lavos Core; Chrono Trigger; Yasunori Mitsuda; Gi Nattak
AC: mmpr_city; Stage 1, City; Mighty Morphin Power Rangers; Kinuyo Yamashita, Iku Mizutani; Gi Nattak
AF: rs_beat; Beat Them Up!; Romancing Saga; Kenji Ito; Gi Nattak
B0: sf2_vega; Vega's Theme; Street Fighter II; Yoko Shimomura; Gi Nattak
B1: rs2_heroes; Seven Heroes Battle; Romancing Saga 2; Kenji Ito; Gi Nattak
B2: ffx_yuna; Yuna's Decision; Final Fantasy X; Nobuo Uematsu; Gi Nattak
B3: udt_bonetrousle; Bonetrousle; Undertale; Toby Fox; Gi Nattak
B4: shfc_sad; Sad Theme; Shining Force 1; Motoaki Takenouchi; Gi Nattak
B5: smrpg_sewers; Kero Sewers; Super Mario RPG; Yoko Shimomura; Gi Nattak
B6: ff4_world; Somewhere in the World; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
BB: ff3_cloud; Cloud of Darkness; Final Fantasy III; Nobuo Uematsu; Gi Nattak
BC: pq_lullaby; Godom Lullaby; Paladin's Quest; Kohei Tanaka; Gi Nattak
BD: som_oracle; Oracle; Secret of Mana; Hiroki Kikuta; Gi Nattak
BE: som_dance; Meridian Dance; Secret of Mana; Hiroki Kikuta; Gi Nattak
BF: ff4_dreadful; Dreadful Battle; Final Fantasy IV; Nobuo Uematsu; Gi Nattak
C0: ff5_decisive; The Decisive Battle; Final Fantasy V; Nobuo Uematsu; Gi Nattak
C1: rsms_prelude; Prelude to Battle; Romancing Saga Minstrel Song; Kenji Ito; Gi Nattak
C2: rs2_last; Last Battle; Romancing Saga 2; Kenji Ito; Gi Nattak
