[ost_a.smc]
01: dw3_battle; Battle Theme; Dragon Warrior III; Koichi Sugiyama; Gi Nattak; Jay Reichard
02: bof_dejection; Dejection; Breath of Fire; Y. Fujita, M. Yamaguchi, M. Fuji, Y. Shimomura, T. Nishimura; Gi Nattak; Zagro
03: totr_worlds; Between Two Worlds; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; Chrono
05: mkr_emeraude; Emeraude's Theme; Magic Knight Rayearth; Yayoi Wachi, Seirou Okamoto; Gi Nattak; Daniel Marjenburgh
06: dq_alefgard; Alefgard; DQ/FF4 Remix; Koichi Sugiyama, Nobuo Uematsu ; Gi Nattak, Jackimus; Squall
07: bl_jojo; Jojo and the God Dragons; Bahamut Lagoon; Noriko Matsueda; Gi Nattak; VGMTrans
08: lf2_land; The Land Nobody Knew; Lufia II; Yasunori Shiono; Gi Nattak; SinclairC
09: ct_chest; Sealed Chest; Chrono Trigger; Yasunori Mitsuda; Gi Nattak; mfvitools
0A: rs3_field; Field; Romancing Saga 3; Kenji Ito; JCE3000GT; SPC injection
0B: lom_moonlit; Moonlit City Roa; Legend of Mana; Yoko Shimomura; Gi Nattak; Sevon
0C: ar_sacrifices; Sacrifices; ActRaiser; Yuzo Koshiro; Gi Nattak; Jorge D. Fuentes
0D: bof2_hero; What It Takes To Be A Hero; Breath of Fire II; Yuko Takehara; Gi Nattak; Jonathan Bennett
0E: ys5_lake; Misty Lake; Ys V; Naoki Kaneda; Gi Nattak; Xenu
0F: ff7_cry; You Can Hear the Cry of the Planet; Final Fantasy VII; Nobuo Uematsu; Gi Nattak; Pesmerga
10: potc_pirate; He's a Pirate!; Pirate's of the Caribbean; Klaus Badelt, Hans Zimmer; Jackimus; Jackimus
11: mtd_kraid; Kraid's Lair (Rock Remix); Metroid; Hirokazu Tanaka; Gi Nattak; Tracktion
12: ff4_calcobrena; Dancing Calcobrena; Final Fantasy IV; Nobuo Uematsu; emberling; VGMTrans
13: tcss_song; Song #1; T&C Skate Session; Tsukasa Masuko; Gi Nattak; Kain Xiorcal
14: rs_schiele; Battle With Schiele; Romancing Saga; Kenji Ito; Gi Nattak; SaGaUpLoader
15: drkn_character; Character Creation; Drakkhen; Hiroyuki Masuno; Gi Nattak; FirahFabe
16: totr_darkness; Edge of Darkness; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; Robert Hansson
17: ao2_forest; Land of Frozen Forest; Albert Odyssey 2; Naoki Kodaka; Gi Nattak; Marine
18: z4_dungeon; Dungeon; Zelda IV (GBC); K. Totaka, M. Hamano, K. Ishikawa, K. Kondo; Gi Nattak; Jay Reichard
19: xnb_gaur; Gaur Plains; Xenoblade; ACE+; Jackimus; Jackimus
1A: lal_megalomania; Megalomania; Live a Live; Yoko Shimomura; Gi Nattak; SaGaUpLoader
1B: lf_island; Island in the Void; Lufia; Yasunori Shiono; Gi Nattak; SinclairC
1C: feg_army; Army of Grannvale 2; Fire Emblem: Genealogy of the Holy War; Yuka Tsujiyoko; Gi Nattak; Cross Bone
1D: lag_voice; Voice of Spirits; Lagoon; Hideki Suzuki; Gi Nattak; Eric Mackle
1F: ys3_shock; Shock of the Death God; Ys III; Mieko Ishikawa; Gi Nattak; Willow
20: totr_zombies; Dance of the Zombies; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; AlphaDraconis
21: smtd_maridia; Maridia; Super Metroid; Minako Hamano, Kenji Yamamoto; Gi Nattak; Blake O'Hare
22: lom_soul; Bonded by the Soul; Legend of Mana; Yoko Shimomura; Gi Nattak; Zagro
23: ff8_way; Find Your Way; Final Fantasy VIII; Nobuo Uematsu; Gi Nattak; IChibaN
24: rs_conflict; The Conflict; Romancing Saga; Kenji Ito; Gi Nattak; SaGaUpLoader
25: rs3_vanguard; Vanguard Take Off 2; Romancing Saga 3; Kenji Ito; Gi Nattak; SPC injection
27: bof_romero; Romero Cave; Breath of Fire; Y. Fujita, M. Yamaguchi, M. Fuji, Y. Shimomura, T. Nishimura; Gi Nattak; Electric Mew
28: vp_anxieties; Eternal Hydrogen Anxieties; Valkyrie Profile; Motoi Sakuraba; Gi Nattak; Chief Ug
29: trnm_spirits; Wandering Spirits; Terranigma; Masanori Hikichi; Gi Nattak; Gigasoft
2A: ffmq_foresta; Foresta; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Gi Nattak; Daniel Marjenburgh
2B: lf2_earth; The Earth; Lufia II; Yasunori Shiono; Gi Nattak; Prince Janus
2C: sd3_bells; Decision Bells; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak; mfvitools
2D: ff2_town; Town; Final Fantasy II; Nobuo Uematsu; Gi Nattak; VGMusic
2E: aw_time; The Time Has Come; Aaron Walz Music; Aaron Walz; Gi Nattak; Aaron Walz
2F: sgf_victory; Victory!; Saga Frontier; Kenji Ito; Gi Nattak; Mayuri
30: ct_light; Silent Light; Chrono Tigger; Nobuo Uematsu; JCE3000GT; SPC injection
31: tc2001_dre; Forgot About Dre; The Chronic 2001; Dr. Dre; Gi Nattak; RAGNAROSEN
32: totr_flame; Flame And Arrow; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; Chrono
33: top_cross; Take up the Cross; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak; Setzer-
34: tc_shrine; Shrine; Treasure Conflix; Junya Nakano; JCE3000GT; SPC injection
35: wa_castle; Adlehyde Castle; Wild Arms; Michiko Naruke; Gi Nattak; VGMusic
36: ff7_temple; Forested Temple; Final Fantasy VII; Nobuo Uematsu; Gi Nattak; Valius
37: kh2_afternoon; Lazy Afternoon; Kingdom Hearts II; Yoko Shimomura; Gi Nattak; VGMusic
38: xng_sleep; Back to Sleep; Xenogears; Yasunori Mitsuda; Gi Nattak; Squall
39: ff3_amur; Town of Amur; Final Fantasy III; Nobuo Uematsu; Gi Nattak; Thomas Christensen
3B: lf2_sinistral; Sinistral Battle; Lufia II; Yasunori Shiono; Gi Nattak; SinclairC
